countryiso3code,year,unemployment_rate_advanced_education_male,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country
CZE,2023,0.866,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2022,0.625,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2021,1.279,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2020,1.21,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2019,0.863,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2018,0.948,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2017,1.19,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2016,1.453,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2015,2.019,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2014,2.359,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2013,4.247,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2012,3.364,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2011,3.38,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2010,5.298,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2009,5.09,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2008,2.846,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2007,1.952,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2006,4.181,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2005,4.095,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2004,5.102,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2003,2.901,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2002,2.539,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2001,3.002,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
CZE,2000,4.241,,,0,SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",CZ,Czechia
