countryiso3code,year,unemployment_rate_intermediate_education_female,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country
CZE,2023,2.469,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2022,2.76,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2021,3.498,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2020,2.932,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2019,2.113,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2018,2.73,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2017,3.425,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2016,4.205,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2015,5.925,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2014,7.646,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2013,8.622,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2012,8.109,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2011,7.906,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2010,8.285,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2009,7.392,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2008,4.913,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2007,6.259,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2006,8.288,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2005,9.36,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2004,9.355,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2003,9.526,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2002,8.589,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2001,9.063,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
CZE,2000,9.805,,,0,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",CZ,Czechia
