countryiso3code,year,youth_unemployment_rate,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country
CZE,2023,8.269,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2022,6.72,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2021,8.134,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2020,7.936,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2019,5.615,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2018,6.714,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2017,7.936,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2016,10.488,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2015,12.582,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2014,15.841,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2013,18.958,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2012,19.508,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2011,18.077,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2010,18.356,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2009,16.656,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2008,9.874,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2007,10.734,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2006,17.447,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2005,19.248,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2004,20.377,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2003,17.555,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2002,15.982,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2001,16.557,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
CZE,2000,16.97,,,1,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",CZ,Czechia
