countryiso3code,year,unemployment_rate_basic_education_male,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country
EUU,2023,11.8274057784391,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2022,12.0235286677652,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2021,13.5402266899912,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2020,13.3527822467817,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2019,13.1567682390482,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2018,14.1403014319373,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2017,15.7229498116739,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2016,17.4025100438632,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2015,19.0539883299083,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2014,21.0250273367963,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2013,22.2593217466704,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2012,21.6010789025368,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2011,19.4619239372443,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2010,18.8623523783525,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2009,17.3114895724225,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2008,12.7321626294436,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2007,13.3459946115356,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2006,15.269551295923,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2005,16.899430633195,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2004,17.0646564531838,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2003,16.5611337611998,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2002,16.2379426161436,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2001,15.5030274452593,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
EUU,2000,14.4518440551264,,,0,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",EU,European Union
