countryiso3code,year,youth_male_unemployment_rate,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country
EUU,2023,16.3208352929871,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2022,16.2087726130356,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2021,18.2833121142051,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2020,18.5592311804087,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2019,16.9451649485504,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2018,18.2235804809683,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2017,20.1316558025548,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2016,22.377839759973,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2015,24.3032319963265,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2014,25.8672134923113,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2013,26.7679492098139,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2012,25.8343785428432,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2011,23.520836512005,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2010,23.0751490747044,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2009,21.9094222256715,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2008,16.2286858523195,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2007,16.0755160373753,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2006,18.5176204665639,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2005,20.6237110078059,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2004,20.7460402678209,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2003,20.2079727986112,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2002,19.9961110287284,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2001,19.0415377931314,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
EUU,2000,19.3681066299968,,,1,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",EU,European Union
