country,year,total_unemployment_rate,unemployment_rate_advanced_education_male,unemployment_rate_basic_education_female,youth_unemployment_rate,unemployment_rate_intermediate_education_male,male_unemployment_rate,unemployment_rate_basic_education_male,unemployment_rate_advanced_education_female,unemployment_rate_intermediate_education_female,female_unemployment_rate,youth_male_unemployment_rate,youth_female_unemployment_rate
Czechia,2000,8.764,4.241,20.553,16.97,6.378,7.33,27.332,7.898,9.805,10.567,16.657,17.382
Czechia,2001,8.128,3.002,21.314,16.557,5.865,6.739,26.216,5.594,9.063,9.878,16.001,17.293
Czechia,2002,7.28,2.539,18.571,15.982,5.235,5.901,23.725,3.958,8.589,9.031,15.05,17.222
Czechia,2003,7.777,2.901,21.046,17.555,5.526,6.108,24.567,4.998,9.526,9.888,16.591,18.809
Czechia,2004,8.298,5.102,24.202,20.377,6.32,7.028,28.907,3.104,9.355,9.91,21.054,19.474
Czechia,2005,7.927,4.095,24.392,19.248,5.717,6.459,30.016,4.005,9.36,9.799,19.367,19.079
Czechia,2006,7.141,4.181,23.203,17.447,5.11,5.811,26.191,4.598,8.288,8.84,16.566,18.646
Czechia,2007,5.316,1.952,19.287,10.734,3.583,4.22,21.077,2.032,6.259,6.736,10.572,10.967
Czechia,2008,4.392,2.846,18.385,9.874,2.787,3.46,19.919,2.057,4.913,5.611,9.837,9.928
Czechia,2009,6.662,5.09,22.281,16.656,5.252,5.846,26.431,4.605,7.392,7.728,16.627,16.699
Czechia,2010,7.281,5.298,23.624,18.356,6.032,6.381,26.827,4.8,8.285,8.46,18.27,18.486
Czechia,2011,6.712,3.38,21.389,18.077,5.39,5.799,27.922,4.456,7.906,7.895,18.152,17.962
Czechia,2012,6.979,3.364,25.917,19.508,5.491,6.025,31.618,3.621,8.109,8.205,19.855,18.996
Czechia,2013,6.953,4.247,24.879,18.958,5.693,5.904,26.501,4.004,8.622,8.287,18.629,19.447
Czechia,2014,6.108,2.359,20.895,15.841,4.818,5.1,23.369,3.367,7.646,7.396,15.024,17.101
Czechia,2015,5.048,2.019,22.4,12.582,3.798,4.233,23.002,2.774,5.925,6.08,11.302,14.434
Czechia,2016,3.952,1.453,20.64,10.488,2.967,3.379,20.284,2.337,4.205,4.674,9.889,11.397
Czechia,2017,2.893,1.19,14.124,7.936,2.144,2.341,11.808,1.797,3.425,3.585,7.38,8.745
Czechia,2018,2.246,0.948,10.966,6.714,1.556,1.794,10.314,1.434,2.73,2.81,6.368,7.194
Czechia,2019,2.015,0.863,11.554,5.615,1.477,1.724,9.866,1.138,2.113,2.378,5.341,5.989
Czechia,2020,2.55,1.21,10.231,7.936,1.997,2.23,10.544,1.637,2.932,2.954,7.196,9.139
Czechia,2021,2.803,1.279,14.361,8.134,2.095,2.308,11.495,1.44,3.498,3.426,7.542,9.044
Czechia,2022,2.224,0.625,13.318,6.72,1.519,1.788,11.725,0.958,2.76,2.767,5.893,7.912
Czechia,2023,2.579,0.866,5.014,8.269,1.549,2.203,3.439,1.74,2.469,3.039,7.828,8.88
