country,year,unemployment_rate_advanced_education_male
Czechia,2023,0.866
Czechia,2022,0.625
Czechia,2021,1.279
Czechia,2020,1.21
Czechia,2019,0.863
Czechia,2018,0.948
Czechia,2017,1.19
Czechia,2016,1.453
Czechia,2015,2.019
Czechia,2014,2.359
Czechia,2013,4.247
Czechia,2012,3.364
Czechia,2011,3.38
Czechia,2010,5.298
Czechia,2009,5.09
Czechia,2008,2.846
Czechia,2007,1.952
Czechia,2006,4.181
Czechia,2005,4.095
Czechia,2004,5.102
Czechia,2003,2.901
Czechia,2002,2.539
Czechia,2001,3.002
Czechia,2000,4.241
