country,year,unemployment_rate_basic_education_female
Czechia,2023,5.014
Czechia,2022,13.318
Czechia,2021,14.361
Czechia,2020,10.231
Czechia,2019,11.554
Czechia,2018,10.966
Czechia,2017,14.124
Czechia,2016,20.64
Czechia,2015,22.4
Czechia,2014,20.895
Czechia,2013,24.879
Czechia,2012,25.917
Czechia,2011,21.389
Czechia,2010,23.624
Czechia,2009,22.281
Czechia,2008,18.385
Czechia,2007,19.287
Czechia,2006,23.203
Czechia,2005,24.392
Czechia,2004,24.202
Czechia,2003,21.046
Czechia,2002,18.571
Czechia,2001,21.314
Czechia,2000,20.553
