country,year,unemployment_rate_basic_education_male
Czechia,2023,3.439
Czechia,2022,11.725
Czechia,2021,11.495
Czechia,2020,10.544
Czechia,2019,9.866
Czechia,2018,10.314
Czechia,2017,11.808
Czechia,2016,20.284
Czechia,2015,23.002
Czechia,2014,23.369
Czechia,2013,26.501
Czechia,2012,31.618
Czechia,2011,27.922
Czechia,2010,26.827
Czechia,2009,26.431
Czechia,2008,19.919
Czechia,2007,21.077
Czechia,2006,26.191
Czechia,2005,30.016
Czechia,2004,28.907
Czechia,2003,24.567
Czechia,2002,23.725
Czechia,2001,26.216
Czechia,2000,27.332
