country,year,unemployment_rate_intermediate_education_female
Czechia,2023,2.469
Czechia,2022,2.76
Czechia,2021,3.498
Czechia,2020,2.932
Czechia,2019,2.113
Czechia,2018,2.73
Czechia,2017,3.425
Czechia,2016,4.205
Czechia,2015,5.925
Czechia,2014,7.646
Czechia,2013,8.622
Czechia,2012,8.109
Czechia,2011,7.906
Czechia,2010,8.285
Czechia,2009,7.392
Czechia,2008,4.913
Czechia,2007,6.259
Czechia,2006,8.288
Czechia,2005,9.36
Czechia,2004,9.355
Czechia,2003,9.526
Czechia,2002,8.589
Czechia,2001,9.063
Czechia,2000,9.805
