country,year,unemployment_rate_intermediate_education_male
Czechia,2023,1.549
Czechia,2022,1.519
Czechia,2021,2.095
Czechia,2020,1.997
Czechia,2019,1.477
Czechia,2018,1.556
Czechia,2017,2.144
Czechia,2016,2.967
Czechia,2015,3.798
Czechia,2014,4.818
Czechia,2013,5.693
Czechia,2012,5.491
Czechia,2011,5.39
Czechia,2010,6.032
Czechia,2009,5.252
Czechia,2008,2.787
Czechia,2007,3.583
Czechia,2006,5.11
Czechia,2005,5.717
Czechia,2004,6.32
Czechia,2003,5.526
Czechia,2002,5.235
Czechia,2001,5.865
Czechia,2000,6.378
