country,year,youth_female_unemployment_rate
Czechia,2023,8.88
Czechia,2022,7.912
Czechia,2021,9.044
Czechia,2020,9.139
Czechia,2019,5.989
Czechia,2018,7.194
Czechia,2017,8.745
Czechia,2016,11.397
Czechia,2015,14.434
Czechia,2014,17.101
Czechia,2013,19.447
Czechia,2012,18.996
Czechia,2011,17.962
Czechia,2010,18.486
Czechia,2009,16.699
Czechia,2008,9.928
Czechia,2007,10.967
Czechia,2006,18.646
Czechia,2005,19.079
Czechia,2004,19.474
Czechia,2003,18.809
Czechia,2002,17.222
Czechia,2001,17.293
Czechia,2000,17.382
