country,year,youth_male_unemployment_rate
Czechia,2023,7.828
Czechia,2022,5.893
Czechia,2021,7.542
Czechia,2020,7.196
Czechia,2019,5.341
Czechia,2018,6.368
Czechia,2017,7.38
Czechia,2016,9.889
Czechia,2015,11.302
Czechia,2014,15.024
Czechia,2013,18.629
Czechia,2012,19.855
Czechia,2011,18.152
Czechia,2010,18.27
Czechia,2009,16.627
Czechia,2008,9.837
Czechia,2007,10.572
Czechia,2006,16.566
Czechia,2005,19.367
Czechia,2004,21.054
Czechia,2003,16.591
Czechia,2002,15.05
Czechia,2001,16.001
Czechia,2000,16.657
