country,year,youth_unemployment_rate
Czechia,2023,8.269
Czechia,2022,6.72
Czechia,2021,8.134
Czechia,2020,7.936
Czechia,2019,5.615
Czechia,2018,6.714
Czechia,2017,7.936
Czechia,2016,10.488
Czechia,2015,12.582
Czechia,2014,15.841
Czechia,2013,18.958
Czechia,2012,19.508
Czechia,2011,18.077
Czechia,2010,18.356
Czechia,2009,16.656
Czechia,2008,9.874
Czechia,2007,10.734
Czechia,2006,17.447
Czechia,2005,19.248
Czechia,2004,20.377
Czechia,2003,17.555
Czechia,2002,15.982
Czechia,2001,16.557
Czechia,2000,16.97
