country,year,unemployment_rate_advanced_education_female
European Union,2023,5.11279709678327
European Union,2022,5.17567173138972
European Union,2021,6.21795176580204
European Union,2020,6.49197345529042
European Union,2019,6.37350390814583
European Union,2018,6.82040588438536
European Union,2017,7.57584338467704
European Union,2016,8.38495349944807
European Union,2015,9.19081464667648
European Union,2014,9.83952879094915
European Union,2013,10.5401406165153
European Union,2012,9.49701829255728
European Union,2011,7.95908837338068
European Union,2010,7.36561519553965
European Union,2009,6.25984531460153
European Union,2008,5.15629551226064
European Union,2007,5.23402733640696
European Union,2006,5.96641054097981
European Union,2005,6.63388930681385
European Union,2004,6.83093690832698
European Union,2003,6.89831449239695
European Union,2002,7.02515886512284
European Union,2001,6.5253768085125
European Union,2000,7.39731739563047
