country,year,unemployment_rate_intermediate_education_female
European Union,2023,9.22655288900477
European Union,2022,9.88725701698598
European Union,2021,11.2374619794537
European Union,2020,11.4436803224008
European Union,2019,10.8817526126413
European Union,2018,11.7699090474926
European Union,2017,12.7371152130613
European Union,2016,13.9772618444437
European Union,2015,14.8582222426756
European Union,2014,16.2971059493355
European Union,2013,16.4919672812669
European Union,2012,15.7839100651517
European Union,2011,13.5588100359655
European Union,2010,12.2383348630727
European Union,2009,10.9745285781262
European Union,2008,8.63656320264959
European Union,2007,8.79441978444773
European Union,2006,10.3918314548743
European Union,2005,12.034693682726
European Union,2004,12.7412317498175
European Union,2003,13.1621710839976
European Union,2002,13.7554569602332
European Union,2001,13.3554823907339
European Union,2000,13.9870605342796
