country,year,unemployment_rate_intermediate_education_male
European Union,2023,6.79492099432253
European Union,2022,6.85883559391842
European Union,2021,7.9697487474302
European Union,2020,8.53923076563918
European Union,2019,7.85319214280512
European Union,2018,8.43895947577946
European Union,2017,9.45986398282927
European Union,2016,10.5703656818458
European Union,2015,11.8330011670473
European Union,2014,13.4859448520375
European Union,2013,14.3353997130595
European Union,2012,13.5889021696414
European Union,2011,11.5009281641257
European Union,2010,10.8682393236508
European Union,2009,9.97152034532766
European Union,2008,6.5139456189976
European Union,2007,6.72835003650662
European Union,2006,8.36106153989724
European Union,2005,9.70148861395477
European Union,2004,10.4146461776402
European Union,2003,10.5338805744948
European Union,2002,10.5410613102888
European Union,2001,10.0571328783512
European Union,2000,9.18423953844499
