country,year,youth_male_unemployment_rate
European Union,2023,16.3208352929871
European Union,2022,16.2087726130356
European Union,2021,18.2833121142051
European Union,2020,18.5592311804087
European Union,2019,16.9451649485504
European Union,2018,18.2235804809683
European Union,2017,20.1316558025548
European Union,2016,22.377839759973
European Union,2015,24.3032319963265
European Union,2014,25.8672134923113
European Union,2013,26.7679492098139
European Union,2012,25.8343785428432
European Union,2011,23.520836512005
European Union,2010,23.0751490747044
European Union,2009,21.9094222256715
European Union,2008,16.2286858523195
European Union,2007,16.0755160373753
European Union,2006,18.5176204665639
European Union,2005,20.6237110078059
European Union,2004,20.7460402678209
European Union,2003,20.2079727986112
European Union,2002,19.9961110287284
European Union,2001,19.0415377931314
European Union,2000,19.3681066299968
