country,year,youth_unemployment_rate
European Union,2023,16.1799223564178
European Union,2022,16.3625563836776
European Union,2021,18.7313872664131
European Union,2020,18.9867430954116
European Union,2019,16.9816828084727
European Union,2018,18.1239928415732
European Union,2017,20.0954856356213
European Union,2016,22.4187460749536
European Union,2015,24.2268727448673
European Union,2014,25.9655958052284
European Union,2013,26.9277750407043
European Union,2012,25.9465152029223
European Union,2011,23.7345002296313
European Union,2010,22.9375151466125
European Union,2009,21.4991850104476
European Union,2008,16.925676415238
European Union,2007,16.9954111434106
European Union,2006,19.5479145624331
European Union,2005,21.3627198017334
European Union,2004,21.3120332540964
European Union,2003,20.9128390152704
European Union,2002,20.9391060434053
European Union,2001,20.1343592112758
European Union,2000,20.6763314429197
